127.0.0.1 - - [01/Sep/2022:14:18:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:35:33 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 500 2532
192.168.143.19 - - [01/Sep/2022:14:36:22 +0900] "GET //WebStudy01/03/resourceIdetityFile.jsp HTTP/1.1" 404 822
192.168.143.19 - - [01/Sep/2022:14:36:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:43:50 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:46:23 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:48:07 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 930
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:56:39 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:57:08 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:57:11 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:57:30 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:57:36 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:58:11 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 991
0:0:0:0:0:0:0:1 - - [01/Sep/2022:14:58:46 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 1136
0:0:0:0:0:0:0:1 - - [01/Sep/2022:15:28:42 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [01/Sep/2022:15:28:42 +0900] "GET /resources/images/cat3.png HTTP/1.1" 404 840
0:0:0:0:0:0:0:1 - - [01/Sep/2022:15:28:42 +0900] "GET /WebStudy01/resources/images/cat3.png HTTP/1.1" 200 153361
0:0:0:0:0:0:0:1 - - [01/Sep/2022:15:28:52 +0900] "GET /WebStudy01/03/resourceIdentify.jsp HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [01/Sep/2022:15:28:52 +0900] "GET /resources/images/cat3.png HTTP/1.1" 404 840
