127.0.0.1 - - [06/Oct/2022:10:56:47 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:56:53 +0900] "GET /WebStudy02_MVN/member/memberInsert.do HTTP/1.1" 200 7337
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:56:53 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:56:53 +0900] "GET /WebStudy02_MVN/resources/css/dashboard.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:56:53 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:56:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:58:16 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:58:16 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:59:44 +0900] "POST /WebStudy02_MVN/member/memberInsert.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:59:44 +0900] "GET /WebStudy02_MVN/member/memberList.do HTTP/1.1" 200 8645
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:59:44 +0900] "GET /WebStudy02_MVN/resources/js/member/memberList.js?1665021584577 HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:59:44 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [06/Oct/2022:10:59:44 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:00:36 +0900] "GET /WebStudy02_MVN/member/memberView.do?who=c002 HTTP/1.1" 200 1483
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:00:40 +0900] "GET /WebStudy02_MVN/member/memberUpdate.do?who=c002 HTTP/1.1" 200 7527
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:00:40 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:00:40 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:00:54 +0900] "POST /WebStudy02_MVN/member/memberUpdate.do?who=c002 HTTP/1.1" 200 7451
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:00:54 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:00:54 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:01:09 +0900] "POST /WebStudy02_MVN/member/memberUpdate.do?who=c002 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:01:09 +0900] "GET /WebStudy02_MVN/member/memberList.do HTTP/1.1" 200 8653
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:01:09 +0900] "GET /WebStudy02_MVN/resources/js/member/memberList.js?1665021669131 HTTP/1.1" 200 1468
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:01:09 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 331017
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:01:09 +0900] "GET /WebStudy02_MVN/resources/js/bootstrap-5.1.3-dist/css/bootstrap.min.css.map HTTP/1.1" 200 451427
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:03:46 +0900] "GET /WebStudy02_MVN/member/memberList.do HTTP/1.1" 200 8653
0:0:0:0:0:0:0:1 - - [06/Oct/2022:11:03:46 +0900] "GET /WebStudy02_MVN/resources/js/member/memberList.js?1665021826175 HTTP/1.1" 200 1468
